2021-04-23 01:43:31.286130: m 10000, model mle-nonlinear, run 0: Q is not SPD.
2021-04-23 01:45:28.488386: m 10000, model mle-linear, run 0: Solver 'ECOS' failed. Try another solver, or solve with verbose=True for more information.
2021-04-23 02:25:14.833765: m 3000, model mle-nonlinear, run 0: Q is not SPD.
2021-04-23 02:48:02.774732: m 5000, model mle-nonlinear, run 0: Q is not SPD.
2021-04-23 03:40:11.612617: m 10000, model mle-nonlinear, run 0: Q is not SPD.
2021-04-23 05:09:43.313598: m 1000, model mle-nonlinear, run 1: Q is not SPD.
2021-04-23 05:25:42.938867: m 3000, model mle-nonlinear, run 1: Q is not SPD.
2021-04-23 05:48:11.496543: m 5000, model mle-nonlinear, run 1: Q is not SPD.
2021-04-23 06:38:10.736587: m 10000, model mle-nonlinear, run 1: Q is not SPD.
2021-04-26 11:01:54.405509: m 100, model policy-nonlinear, run 0: name 'np' is not defined
2021-04-26 11:01:54.430156: m 200, model policy-nonlinear, run 0: name 'np' is not defined
2021-04-26 11:01:54.438121: m 300, model policy-nonlinear, run 0: name 'np' is not defined
2021-04-26 11:01:54.445943: m 500, model policy-nonlinear, run 0: name 'np' is not defined
2021-04-26 11:01:54.454383: m 1000, model policy-nonlinear, run 0: name 'np' is not defined
2021-04-26 11:01:54.538652: m 3000, model policy-nonlinear, run 0: name 'np' is not defined
2021-04-26 11:01:54.584586: m 5000, model policy-nonlinear, run 0: name 'np' is not defined
2021-04-26 11:01:54.651979: m 10000, model policy-nonlinear, run 0: name 'np' is not defined
