mle_true:,316.5813073484993
m,mle-linear,mle-nonlinear,policy-linear,policy-nonlinear,task-linear,task-nonlinear

100,435.30416913318584,470.0261535644531,512.932861328125,463.05010986328125,584.3311157226562,464.8571472167969

200,377.6212773346765,416.9571838378906,436.7099914550781,462.9773254394531,413.7334899902344,453.6726989746094

300,356.8925395656955,424.15289306640625,423.8807067871094,440.00836181640625,375.6448669433594,372.1552734375

500,338.9011745157303,415.1532897949219,425.3144226074219,439.527099609375,367.8946533203125,374.68621826171875

1000,322.8177338083341,385.6899108886719,416.4037170410156,414.7795715332031,336.3272399902344,354.04840087890625

3000,320.67659857959023,,413.5987548828125,413.14422607421875,326.4357604980469,335.4441833496094

5000,319.59138726155953,,412.4178466796875,401.58624267578125,327.0892639160156,331.39996337890625

10000,317.10375843022246,,412.1843566894531,391.7818603515625,318.5259704589844,321.2884826660156

100,441.6521649582279,467.2036437988281,485.3675537109375,492.6456298828125,419.2565002441406,404.97882080078125

200,438.8511964831374,475.071533203125,442.15936279296875,444.3662414550781,404.7719421386719,400.829345703125

300,371.61426156851707,399.77447509765625,429.6275634765625,435.5860900878906,378.4226989746094,379.97991943359375

500,334.7709192105521,429.6196594238281,418.6644592285156,442.06988525390625,376.0332946777344,374.85870361328125

1000,321.2573407685101,,417.1651306152344,414.69000244140625,345.89910888671875,348.16656494140625

3000,320.75546647235416,,415.166259765625,417.11431884765625,332.2624206542969,340.5947265625

5000,320.096472507297,,413.4126281738281,398.7055358886719,322.92340087890625,330.9868469238281

10000,316.76140340139705,,412.8371887207031,382.54931640625,316.1955261230469,321.0142822265625

100,422.3198015109792,514.4035034179688,498.47119140625,486.69488525390625,473.22601318359375,421.5592346191406

200,399.8895183141252,469.67681884765625,436.59832763671875,432.23687744140625,406.9553527832031,420.8974609375

300,360.72051593136655,442.6020202636719,424.8365783691406,449.8326721191406,389.3174743652344,396.5024108886719

500,343.246522406572,390.2421569824219,418.9185791015625,417.22808837890625,365.70147705078125,370.0473937988281

1000,321.2392131490828,397.0973205566406,416.26983642578125,414.30584716796875,346.55859375,349.1603698730469

3000,320.45464458648837,352.7374572753906,412.46356201171875,414.6805419921875,332.5889892578125,333.84075927734375

5000,316.996438103625,353.41986083984375,412.0014953613281,408.8904113769531,321.8735046386719,
