mle_true:,275.15427410494385
m,mle-linear,mle-nonlinear,policy-linear,policy-nonlinear,task-linear,task-nonlinear

100,776.4091609463396,710.4998168945312,880.322265625,654.5172119140625,636.085693359375,656.14208984375

200,680.86925359765,611.5143432617188,649.0188598632812,623.864990234375,635.1430053710938,611.6443481445312

300,656.6765695131328,593.582275390625,612.8353271484375,569.4210205078125,635.6694946289062,520.1732177734375

500,640.9512396876486,496.6076354980469,599.6675415039062,530.183349609375,611.4519653320312,473.2413024902344

1000,633.2765389926324,442.3394470214844,599.1138916015625,478.3094787597656,500.1239013671875,376.0446472167969

3000,615.8355530706506,381.7281188964844,587.310546875,440.84906005859375,493.2019348144531,355.0760498046875

5000,617.5946996028788,376.7151794433594,589.7730102539062,419.71270751953125,477.2967224121094,336.96209716796875

10000,620.7515004547739,,590.82421875,387.0376281738281,485.79046630859375,
